query,type,volume_tier,current_owner,glance_angle,priority
how does AI personalize lockscreen ads,unexplored,Med,"9to5Google, Android Central, Glance.com own articles","Glance is the primary answer — explain Commerce Intelligence Model, D0 cold-start, and Gemini VTON personalisation pipeline on 175M+ Android devices without prior user history",P1
what are Zapps in AI commerce,unexplored,Low,none/thin — no authoritative source; unrelated Zapp/Zapcom companies surface,"Glance should own this term — publish canonical explainer: Zapps are mini-apps embedded in the lockscreen allowing brand interactions (try-on, cart, checkout) with zero download and zero app-switch friction",P1
D0 personalization engine ecommerce cold start,unexplored,Low,"Segmentify, Constructor, RoccAI blogs (generic cold-start content); no platform-specific authority","Glance has the clearest D0 proof point — personalise on Day 0 using device signals, OEM data, and contextual cues before any session data exists; contrast with cookie-based and history-dependent engines",P1
agentic commerce platform pre-installed OEM Android,unexplored,Low,none/thin — Appnext blog mentions OEM advertising + AI but not agentic commerce; no OEM-native agentic commerce content exists,"Entirely white space — Glance is the only agentic commerce platform at OEM/firmware level on Android. Publish positioning lockscreen-native distribution as the unfair advantage over app-store-dependent players",P1
lockscreen shopping AI before you open an app,unexplored,Med,"Android Central, Android Police, TechCrunch (Samsung/Glance launch coverage) — press exists but no Glance-authored definitive explainer","Publish the first-person authoritative piece — how pre-app-open commerce works technically, why zero-scroll intent is a higher conversion surface than search-initiated or social-scroll commerce",P1
virtual try-on embedded widget no download,unexplored,Med,"Elfsight, Tryly, Jeeliz (web widget vendors) — well-covered for website embeds; lockscreen/OS-native VTON unclaimed","Glance's VTON via Gemini agents inside a Zapp is distinct — OS-level embedded, not a website widget. Publish to carve out 'lockscreen VTON' as separate from 'website VTON widget'",P2
ambient commerce zero scroll moment,unexplored,Low,"Kadence, Azura Magazine, FMI market report — thin and fragmented; no single voice owns the intersection","Glance can coin and own 'zero-scroll moment' — the lockscreen impression triggering commerce intent before any scroll. Frame as next evolution beyond zero-click search: zero-scroll commerce",P2
AI fashion stylist lockscreen Android,unexplored,Med,"Android Central, Android Police (Glance/Samsung coverage), generic AI stylist app listings","Glance is the factual answer — publish explainer on how 5 parallel sub-agents generate personalised fashion collections on lockscreen and how VTON lets users see themselves in the look pre-app-open",P1
agentic commerce platform comparison 2026,high_volume,High,"BigCommerce, DigitalApplied, Rierino, Swell — multiple strong comparison articles; Glance absent from all lists","Glance is missing from every platform comparison. Publish a response positioning Glance as the only OEM-native agentic commerce platform vs app/chat-based players — unique surface = lockscreen; unique moat = pre-install distribution",P1
best AI shopping assistant 2026,high_volume,High,"HelloRep.ai, eesel AI, GetStream, Dori, QuickPick.ai — many listicles; no entry covers pre-app-open lockscreen discovery","None of the lists include Glance — publish a positioning piece challenging chat-first framing: the best AI shopping assistant is one you never had to open, using Glance's lockscreen model as proof",P1
how does AI recommend fashion items,high_volume,High,"Style3D AI blog, Amazon About page, Algolia — well-covered generic explainers on collaborative filtering, NLP; no lockscreen-native angle","Publish a differentiated explainer: how Glance recommends fashion on Day 0 with no history — using device context, OEM signals, and parallel sub-agents vs the history-dependent models every other explainer describes",P2
virtual try-on AI app android,high_volume,High,"Google Play app listings (Try It On, GIGI, Outfit App), Claid.ai, BeautyAI blog — high volume, well-served by app store results","Differentiate Glance's VTON from standalone apps: no download, no app switch, embedded in lockscreen — see yourself in the outfit before opening any store. Target 'no download virtual try-on android' angle",P2
AI commerce trends 2026,high_volume,High,"SearchEngineLand, DigitalCommerce360, InDataLabs, CommerceTools, Shopify — saturated with trend roundups; lockscreen/ambient commerce not covered","Contribute a Substack piece framing 'ambient/lockscreen commerce' as the missing trend in every 2026 roundup — cite Glance's 175M device reach as evidence the trend is already mainstream",P2
conversational commerce vs agentic commerce,high_volume,High,"Forrester, ContactPigeon, Ignitiv, Shopify, Bloomreach — strong authoritative explainers; well-covered conceptual territory","Add a third category Glance uniquely occupies: 'ambient agentic commerce' — intent generated before any conversation or click, at the lockscreen surface. Extend the debate to include pre-intent, zero-interaction commerce",P2
