query,type,volume_tier,current_owner,glance_angle,priority
what is D0 commerce,unexplored,Low,none,Define and own the D0 commerce category — product discovery at device wake before any app opens. Glance is the only live D0 platform at scale (175M devices). Publish a category-defining explainer.,P1
lockscreen shopping assistant android,unexplored,Med,partial (9to5Google / glance.com thin),Glance is the only OEM-native lockscreen shopping assistant. Publish a definitive explainer on Glance AI surfacing product cards at first swipe with Zapps enabling zero-tap checkout — before any app opens.,P1
agentic commerce before app open,unexplored,Med,none,All agentic commerce coverage (Criteo / Mastercard / Salesforce / IBM) addresses post-unlock flows. Glance occupies the pre-agent layer. Publish thought leadership positioning Glance as the pre-app-open commerce surface that precedes every other agentic platform.,P1
zero install transactional mini app lockscreen,unexplored,Low,none,Glance Zapps are the only zero-install transactional mini-apps on the Android lockscreen. No media coverage exists. Publish a primer defining the category before journalists or competitors frame it incorrectly.,P1
OEM native storefront pre-intent analytics android,unexplored,Low,none,Glance Brand AI Store is the only OEM-embedded storefront with pre-intent signals (device wake + content engagement data before search). Establish category definition and own this SERP.,P2
physical AI stylist virtual try-on without selfie,unexplored,Low,none,All virtual try-on content (FitRoom / fashn.ai / weshop.ai) requires photo upload. Glance's Physical AI Stylist uses ambient device context — no selfie needed. Publish comparison piece to capture early search demand for selfie-free try-on.,P2
best AI shopping assistant android 2026,high_volume,High,"QuickPick.ai / Tidio / eesel AI / hellorep.ai listicles; Amazon Rufus and Walmart Sparky as top picks","Counter-angle: every ranked tool requires opening an app. Glance surfaces product recommendations before you reach the home screen. Pitch contributed listicle to Android Authority positioning Glance as the D0 layer that precedes all other assistants.",P1
agentic commerce platform comparison 2026,high_volume,High,"kore.ai / BigCommerce / DigitalApplied / rye.com — 10-platform matrices; Glance absent from all","Glance is missing from every matrix because it operates below the stack analysts mapped. Publish reframe: 'The agentic commerce layer nobody mapped — why D0 commerce sits above ACP and UCP.' Target eMarketer and Modern Retail.",P1
ChatGPT shopping agent 2026,high_volume,High,"CNBC / Fast Company / OpenAI blog / Shopify / Modern Retail — Instant Checkout stumble widely covered","Newsjack OpenAI's Instant Checkout failure. Counter-angle: ChatGPT shopping starts when you open the app — Glance starts when you pick up your phone. Post on why lockscreen-native commerce sidesteps the cold-start problem of agent adoption.",P1
WWDC 2026 Siri shopping features,high_volume,High,"9to5Mac / Tom's Guide / TechRepublic / Engadget — Siri 2.0 with shopping actions expected June 8","Rapid-response piece as WWDC keynote drops: 'Siri can now order coffee — Glance has been showing you what to buy before your screen unlocks.' Targets Android users explicitly excluded from Apple ecosystem; reinforces Samsung/Motorola OEM distribution.",P1
Google vs Apple commerce AI 2026,high_volume,High,"Fast Company / CNBC / Marketing Dive — Google UCP vs Apple Siri 2.0 framing; both post-unlock app-layer","Third-party framing: Google and Apple fight over post-unlock commerce — Glance controls pre-unlock commerce. Position as the OEM layer operating independently of both ecosystems with Samsung and Motorola as proof points.",P2
ambient commerce how to prepare brand 2026,high_volume,Med,"Azura Magazine (top result — generic voice/IoT/wearables guide) / mixflow.ai / contactpigeon","Azura's guide is generic. Publish a specific playbook: 'Ambient commerce on 175M Android lockscreens — a brand guide to D0 placement.' Target CMOs of fashion / FMCG / electronics. Pitch to Retail Dive or publish natively on Substack/LinkedIn.",P2
